Review_date,Reviewer_name,Review_title,Review_description,Rating
"July 21, 2021",debiann301,When Covud came along,"When Covud came along I used whatever wipes I could find. When Clorox hit the shelves again I stocked up. These wipes are tough; you can scrub pretty hard with them. And, being Clorox, you can rest assured that you are disinfecting your house.",4.0
"July 20, 2021",mike,Null,Easy to use and effective.,5.0
"July 20, 2021",neenees,Need to clean and,"Need to clean and disinfect all at once. Clorox is key. And easy clean. It pretty much gives you, your surface back immediately after",5.0
"July 20, 2021",mystiel,I love the scent,I love the scent and the strong durable quality of these wipes. The have a refreshing sent that isn't overbearing in the least. Much more pleasant than the usual bleach smell that fills my home ⭐⭐⭐⭐⭐Clorox Disinfecting Wipes Bleach Free Cleaning Wipes - Crisp Lemon - 75ct,5.0
"July 19, 2021",FreeBird16,Null,I Love these. Even cleans glass,5.0
"July 19, 2021",alexisr178,This product this amazing,This product this amazing especially if I need to cleaning something quickly. I know it will get the space clean. It's simple and easy to use.,5.0
"July 18, 2021",Lucretia,Null,Everything was well received,5.0
"July 18, 2021",lilyc85,These Clorox wipes don't,These Clorox wipes don't have a good sent but they do clean object really good.These wipes stay wet for a while so you can clean multiple surfaces.,5.0
"July 18, 2021",debra,Null,Very handy to have in house.,5.0
"July 18, 2021",Audrey,Satisfied,Very good I recommend it to others,5.0
"July 17, 2021",WalmartCustomer,Leaked all in the box,Leaked out in the box. Just go buy it from the store yourself,1.0
"July 24, 2021",Momm,Great for cleaning.,Love the scent of Clorox wipes versus Lysol..Great buy..Very pleased.,5.0
"July 14, 2021",None,Null,okay but all thing did not come.,4.0
"July 14, 2021",RT,Null,Great price and convenience! Thx!,5.0
"July 14, 2021",ChristmasShopper,Null,"Love the fact that I can finally get them again. They work great, smell better and have a better texture than other brands.",5.0
"July 14, 2021",Meechie,Excellent for cleaning,"Cleans very well, especially for spot cleaning, or if youre in a hurry",5.0
"July 14, 2021",maribelg42,The Clorox Disinfecting Wipes,The Clorox Disinfecting Wipes help to maintain the bathroom and the kitchen very clean .I used it every day for the lid of the toilet and I like very much.,5.0
"July 13, 2021",Debra,Null,Containers of wipes were dented and must have leaked cleaner liquid because Clorox labels were peeled off containers.,1.0
"July 13, 2021",Pilu,Null,It cleans everything in the bathroom so good,5.0
"July 12, 2021",jenniferm805,We use these all,We use these all over my house for all surfaces door handles counters light switches etc. due to my youngest child being prone to sickness we have to always be safe and take precautions on everything we do so we stand behind this product,5.0
"July 12, 2021",Margo,Disinfecting wipes,Love them. So hard to find.,5.0
"July 11, 2021",zuhraa_x,Best wipes. It cleans,Best wipes. It cleans and disinfects. It also picks up my cats hairs from the counters. This is my go to disinfecting wipes. Also they don't dry out!,5.0
"July 11, 2021",Patty,Null,Always used wipes for clean ups. Finally we can buy them again!,5.0
"July 11, 2021",catieh14,Awesome wipes work great,Awesome wipes work great especially during covid! Whole family loves them. Lemon scent is perfect. Use this for everything!,5.0
"July 10, 2021",mariap678,Love the scent and,Love the scent and how clean my counters are. I feel safe using it. Price is right for quantity of wipes.,5.0
"July 10, 2021",katherinef70,This one is actually,This one is actually my favorite. Mine was super moist and wipes very good. I like the clean scent that it has also. I like to keep one in my car to wipe the gas pump handles down and also one in my kitchen to wipe the counter that I cooked anywhere with meat. I would recommend this.,5.0
"July 10, 2021",brittanyy21,I absolutely love these,I absolutely love these for a quick cleanup. I find using individual wipes to be more sanitary than reusing a rag. I wish they made wipes specifically for cleaning wood though. Great product for the price because it takes the place of several cleaning products I would use on hard non porous surfaces. These are definitely a regular on my shopping list.,5.0
"July 10, 2021",lizziem37,Good for the house,Good for the house it keeps baby an family from getting sick are catch bacteria form the house an kep germ away . texting the product form at the house,4.0
"July 9, 2021",Maguro,Clorox disinfecting wipes,"I only use Clorox disinfecting wipes, it is the best!",5.0
"July 8, 2021",Deborah,Damaged containers.,my containers were smashed in and the lids were all cracked. I am very unhappy. SMH,1.0
"July 8, 2021",april,Null,"my go to wipes for quick cleaning, and sanitizing",5.0
"July 15, 2021",Patrice,Null,Love the scent of Clorox wipes versus Lysol..Great buy..Very pleased.,5.0
"July 14, 2021",None,Null,okay but all thing did not come.,4.0
"July 14, 2021",RT,Null,"Household staple. It was so hard for me to not be able to find these during the pandemic. I would buy literally anything just so I had something, but nothing is even comparable to REAL Clorox wipes. So glad they are finally back in stock everywhere!!!",5.0
"July 6, 2021",katier203,Would be great for,Would be great for all and any messes with satisfaction of knowing ur going to be germ free to I probably over use them but I hate germs,5.0
"July 6, 2021",Oscar,Must have,Great product always on my list,5.0
"July 6, 2021",Cheryll,Null,Cant get along without this!,5.0
"July 5, 2021",lisae64,These wipes are fabulous,These wipes are fabulous ! I tried to stock up best I could beginning of pandemic knowing they would be the best way of disinfecting ! These wipes never fail to impress how long they last how much use and sturdy just one wipe is ! Definitely will continue to buy !,5.0
"July 4, 2021",carab50,I love this product.,I love this product. Having a baby there is always a mess to clean up and being able to grab a wipe that kills germs instead of getting out a spray and having to get paper towels while holding a newborn really makes it easy. Love love love these,5.0
"July 4, 2021",hoogerland,good wipes,plenty of liquid cleaner; they don't dry out over time,5.0
"July 3, 2021",shopper48,Good product,I use these for everything.,5.0
"July 1, 2021",MrPete50,Null,Much better than the discount junk from china.,5.0
"June 30, 2021",Bunnie,Null,Handy for clean ups in the car fresh smelling,5.0
"June 30, 2021",RICHARD,Null,MY ONLY CHOICE THERE IS NO OTHER OPTION,5.0
"June 29, 2021",Jackie,Null,You can always trust Clorox. Period.,5.0
"June 29, 2021",Leanne,Clorox Wipes,An excellent cleaning product.,5.0
"June 28, 2021",old2thumbs,Great,[This review was collected as part of a promotion.] Clorox is the only way to get the job done right the first time!!,5.0
"June 27, 2021",Beth,Null,bottle leaked all liquid out..,1.0
"June 26, 2021",Karen,Clorox Wipes Cleans My Kitchen!,Been using them for years to clean up grimy stove top! I could make an ad I love using them so much!,5.0
"June 26, 2021",crisal,Good,Always trust Clorox to clean and disinfect,5.0
"June 24, 2021",JennyZ,Boyfriend luvs it!,I wipe down my VaJayjay every day with it.,5.0
"July 7, 2021",musicmovesme2000,Already did a review,Already did a review on this but it wants another lol love these wipes. I posted a life hack for removing mildew with these if anyone is interested. Just check out my page :),5.0
"July 7, 2021",chadr2,These are the BOMB!!,I absolutely loved everything I purchased h,5.0
"June 23, 2021",Debra,Null,That was quick.... Thank you.,5.0
"June 23, 2021",northwoods50,puzzled,"I love the product, but upon latest delivery there was no 'juice' in the bottom of the container - for all of them. The wrappers were all wet and so had to remove them all. For now the first container is fine, but I'm guessing it will dry up before we use them up. Disappointed",3.0
"June 23, 2021",Benteng,Easy to use,Pretty good .These Clorox wipes are the only cleaning wipes we'll use. Very strong cleaning power,5.0
"June 21, 2021",leah,Classic household product!,Always a classic and delivered to our house!,5.0
"June 21, 2021",Zakiya,get it soon,awesome deal especially during Covid,4.0
"June 19, 2021",Judith,Quick cleanup,Keep these handy in the bathroom for a quick clean up. Must have for our bathroom,5.0
"June 17, 2021",Calvin,Walmart cheaper and faster than Amazon,Price half of Amazon - delivered next day!!,5.0
"June 14, 2021",WalmartCustomer,Null,The clorox wipes were dented and liquid had spilled out.,2.0
"June 14, 2021",Davey,Long laster,"I've been using this product for over 45 years. It never disappoints. It has changed over the years, gotten weaker but it still does the job well",5.0
"June 13, 2021",idonotwantto,My number one cleaner!,Nothing compares to Clorox.,5.0
"June 13, 2021",kelli,Null,"Arrived very Quickly. Love using the online shopping, so easy. And it's so I don't tempt to buy other than just what i need.",5.0
"June 12, 2021",Kim,Good product,"Used for many many years, just wish the didn't dry out so quickly.",4.0
"June 11, 2021",Connie,Null,I USE THESE ALWAYS. VERY HANDY FOR QUICK CLEANING.,5.0
"June 11, 2021",Roxie,Null,"I like the smell of the bleach, because it makes it smells fresh and clean especially if you have to travel and stay out of town.",5.0
"June 10, 2021",Yanet,Great product!!,We tend to keep these all the time. They clean great.,5.0
"June 10, 2021",Elaine,Null,I always liked theses wipes for fast sanitizing and I always like Clorox products in all my sanitizing because it works,5.0
"June 9, 2021",marie,The best wipes ever!,I use these likes for multiple of things. It really is a great product. That's delivery.,5.0
"June 8, 2021",jean,Great product,Some of containers were damaged. The tops were smashed in. Put them in old containers I have.,5.0
"June 7, 2021",Lisa,Null,love um great value use um all the time would buy again,5.0
"June 7, 2021",blndaly,The Best,Haven't found this in a year.,5.0
"June 7, 2021",Jns0,Goodbye germs,These are exactly as I expected them to be. I'm glad they shipped fast. They are convenient for disinfecting surfaces quickly. I marked it down one because it would be nice if they closed better. The containers leak if tipped.,4.0
"June 6, 2021",Paul,Null,This is a good product for cleaning,5.0
"June 6, 2021",Monica,Null,I use these every single day. They're great when cleaning my cats litter box. I also use them to wipe down the tub after every bath and so does the rest of the family.,5.0
"June 6, 2021",1happycustomer,The best brand of disinfecting wipes,The best disinfecting wipes I know. I feel assured when I use this brand of wipes to disinfect anything.,5.0
"June 5, 2021",cheriebfl,Not sturdy,This is not for children or rough adults. My 12 yr old daughter had this for 3 weeks before the front of two drawers fell off.,3.0
"June 5, 2021",Robin,Null,Very disappointed. They where smashed and leaking.,1.0
"June 4, 2021",JUAN,Null,very happy i was able to get!,5.0
"June 4, 2021",melissa,Null,nice wet wipes with a nice smell,5.0
"June 4, 2021",LILIANA,Null,"Easy to use, I keep a canister for each floor, very handy.",5.0
"June 2, 2021",Bostonlover,Null,"Love the wipes, not the delivery. Came in an envelope and they leaked all over to the point where all the labels were soaked and came right off the containers had to dry them all and now hoping they just leaked and no holes in any of them.",5.0
"June 2, 2021",razikx,Better than Lysol wipes,"These are honestly better wipes than the Lysol ones. They are both great but I choose this over Lysol any day. I think the quality of the wipes on these are better , they just feel like they handle more wipes before they start to fray a bit",5.0
"June 1, 2021",Miguelina,Efficient,Really good items and the best quality.,5.0
"May 31, 2021",GG,CLOROX WIPES,WKS WELL IN BATHROOMS AND KITCHEN,5.0
"May 30, 2021",Marie,Null,The wipes was dried up unfortunately,1.0
"May 29, 2021",Norma,Null,So glad these are available again,5.0
"May 28, 2021",Jonathan,i love it,"i loveClorox Disinfecting Wipes, (225 Count Value Pack), Crisp Lemon and Fresh Scent - 3 Pack - 75 Count Each",5.0
"May 26, 2021",WalmartCustomer,Quickly and easy way to clean.,"Was so glad to be able to get a pack of these while we were moving recently. We were able to quickly clean the cab of the moving truck, knobs and the bathroom where we were staying overnight, and yo clean the new place quickly and easily.",5.0
"May 26, 2021",milagros,Null,The problem is that when I received the wipes the containers were all wet. The containers Were not sealed,3.0
"June 7, 2021",Lisa,Null,love um great value use um all the time would buy again,5.0
"June 7, 2021",blndaly,The Best,Haven't found this in a year.,5.0
"June 7, 2021",Jns0,Goodbye germs,These are exactly as I expected them to be. I'm glad they shipped fast. They are convenient for disinfecting surfaces quickly. I marked it down one because it would be nice if they closed better. The containers leak if tipped.,4.0
"May 21, 2021",karen,Clorox Wipes great products,"Love this product, smells good and makes me feel that things are at cleaner.",5.0
"May 20, 2021",Judy,It's Clorox. It's good.,It's Clorox. Of course it's good. I use these in routine cleaning all the time. They are convenient and they get the job done.,5.0
"May 18, 2021",Sherry,Null,"delivery fast, this is the only wipe I use for my family",5.0
"May 17, 2021",Lindugas,"Clorox Disinfecting Wipes, (225 Count Value Pack),",I have been using these for YEARS prior to this Pandemic. I used to by them in the 3 pack at a Wholesale store. But the inability to obtain over the past year was frustrating. I am so glad I can now get these to wipe down all surfaces in bath and kitchen with the safe feeling I get from using Clorox products .,5.0
"May 16, 2021",Gazelle,Great product,"Great product , do the job. Price fair (?)",5.0
"May 16, 2021",carmenbabysweet,wipes,very thin wipes. it use to be thick wipes,1.0
"May 16, 2021",Angelina,Ok,Came late in afternoon ! We are Disable and don't like to go out of the fence when it starts getting dark . We are also Elderly and we don't trust strangers .,4.0
"May 15, 2021",Julia,price,keeping surfaces sanitary from virus is definitely worth it. not bad 3 of them for the price of 10$ and it's quantity,5.0
"May 15, 2021",FrannieFrance,Disinfectant Wipes,Perfect! For Small Areas to Disinfect,5.0
"May 15, 2021",Willanda,I have been waiting!!,I have been waiting for these to come back in regular supply since the pandemic!! This disinfects well and works well with other cleaning products like Clorox clean up. I would recommend this product to family and friends.,5.0
"May 13, 2021",WalmartCustomer,Value for money,"I am so happy, finally, the general public has the ability to purchase cleaning products again. It was so difficult to buy them. The wipes are easy to take out. I used it for clean kids toys, doors, TV tables, counter tops in kitchen and bathrooms. Bonus point: kills COVID-19 VIRUS!",5.0
"May 10, 2021",Cheryl,My FAVORITE SCENT,I LOVE THESE MY FAVORITE PRODUCT,5.0
"May 9, 2021",MsBea,Null,Glad they finally got some in the stores!,5.0
"May 9, 2021",Marfendra,Positive!,Love having these on hand! Company coming? A quick swipe or two spiffs up the bathroom quickly and smells so clean!,5.0
"May 8, 2021",Nelle,Great For Your Family,"My family and I have been using these Clorox disinfecting wipes for years. We trust Clorox to protect us against bacteria, germs and viruses. We use these in every part of our home. Door knobs, the bathroom, the kitchen and even wiping down the kids toys. Leaves everything clean and smelling nice. The lemon scent is my absolute favorite. Makes the whole area smell like you've spent a hours cleaning. Works great on the stove too. Easily breaks down and wipes up grease and other touch splatters and spills like tomato sauce. We've really counted on these the last two years to keep us safe and I am happy to report we have stayed safe and haven't been sick the entire two years. For that, I am very thankful to Clorox.",5.0
"May 8, 2021",Angelita,Null,I am glad I was finally able to purchase this merchandise after months of trying to buy disinfectant wipes.,5.0
"May 8, 2021",William,Null,"Excellent product, packaged well.",5.0
"May 25, 2021",Regina,Great wipes to clean,These are great wipes! When you need to wipe your countertops down and make sure you have cleaned and killed germs? They are the wipes you want! Love them! They are affordable too!,5.0
"May 23, 2021",Elvia,Very good.,"The best cleaning the counter, doorknobs , sink , toilet seats and whatever else you need for cleaning, wipes",5.0
"May 3, 2021",Karen,Finally back in stock!,These clean well and also disinfect.,5.0
"May 3, 2021",I have no nickname,I Hate This New Product,"[This review was collected as part of a promotion.] Where are my original Clorox Wipes? Not the kind that are 'disinfecting wipes'; that is peroxide and that does not clean the way I like. I know, I know. It SAYS that it kills COVID-19. I don't care. I simply want to clean my kitchen and my bathrooms.",1.0
"May 3, 2021",Candi,Not like it was before,It is alot thinner than before and there is no scrubbing textures,4.0
"May 2, 2021",BBC,"clorox, the best","The best, it's clorox.. Lucky to get them",5.0
"April 30, 2021",Anna,Null,"Got a 3 pack for less than $ 10.00. Had been having difficulty getting these disinfecting wipes, Great that I was able to get some at Walmart and at a good price.",5.0
"April 30, 2021",C Cochran,Love these wipes,[This review was collected as part of a promotion.] I bought these last week and LOVE them. I have 3 boys and these are very handy. I use them in my bathrooms daily.,5.0
"April 29, 2021",Louise,Null,Always use these Thankful I can purchase them at Walmart and have them delivered at a great price,5.0
"April 29, 2021",Cheryl,Null,Great Value for one of the best disinfecting wipes they are. Wipes are very strong.,5.0
"April 29, 2021",likeshrimp,Sanitizes To My Satisfaction,What can you say about wipes these make me feel secure when cleaning my home,5.0
"April 28, 2021",Gennett,Easy Cleanup,"I use Clorox most of the time. I find this product to be an easy clean up, very convenient.",5.0
"April 28, 2021",Cheryl,Clorox wipes,Glad to have them back on the shelves after having to make my own for over a year.,5.0
"April 28, 2021",MELISSA,Everyone needs wipes,Who dont need these!!! My favorite brand of disinfectant wipes! I got 3 packs now!,5.0
"April 27, 2021",Muthamouth,"Clorox Disinfecting Wipes, (225",Great disinfectant ! Grab,5.0
"April 26, 2021",SPRINGER,Clorox Wipes,Clorox wipes have a rough texture on one side that makes a difference!!!!,5.0
"April 26, 2021",Marylouise,Messes,Very nice and easy to clean up messes with,5.0
"April 25, 2021",Jean,Null,Cleans up bathroom especially nicely!,5.0
"April 24, 2021",Mildred,Trusting based on advertising.,I like being able to put one in each important room. Plus there is extra until I received the next Order.,5.0
"April 24, 2021",Tommie,A 10,"This does a good job, it clean and kills germs and you counters etc smells great",5.0
"May 7, 2021",Sally,Great for cleaning and sanitizing.,"Super for cleaning and sanitizing, takes care of small spills.",5.0
"May 5, 2021",karmo,Null,"The best cleaning the counter, doorknobs , sink , toilet seats and whatever else you need for cleaning, wipes",5.0
"May 3, 2021",Karen,Finally back in stock!,"These Clorox disinfecting wipes are great. I just love them and due to the Pandemic, they are very hard to find. I am, however, disappointed that the wipes were delivered to me without being packed in a cardboard box. They were just sitting on my porch, without the benefit of being packed in a box.",5.0
"April 21, 2021",ccm,Null,"These help but still somehow we got a stomach virus and we use these and the sprays, and swifter pads every day",5.0
"April 21, 2021",sandrafloerke,Null,good. disinfectant. esential item,5.0
"April 21, 2021",Nama,Null,I use these to keep everything sanitized . In my home with the pandemic and also used before .,5.0
"April 20, 2021",MissHeather,"Been a staple MANY MOONS,waay b4Covid...",These have been MY GO TO since many many MOOONS before Covid EVER came along!! Kept my family safe since and before! Ill ALWAYS have these on hand!,5.0
"April 20, 2021",mayra,Good product..Terrible packing,"I love Clorox Wipes..BUT I ordered this online..and the packaging was awful..Walmart did not cover it with another plastic bag and the person who packed put it the worng way..sooo Water was in the box..and other items were wet, Please take note of this in order to teach the packing people",3.0
"April 18, 2021",Jim,FAST AS LIGHTENING!!!!!,SPEEDY DELIVERY and Cannot be Happier!!! Thanks so much!!! WE LOVE WALMART!,5.0
"April 18, 2021",Adie56,Disinfectant Wipes,"Because of COVID especially, I am grateful for disinfectant wipes and glad they are back on the market. Also, I have had cancer and like to disinfect counters, steering wheel in my car, phone and purse.",5.0
"April 18, 2021",jeff,Null,Wonderful to keep everything clean and safe,5.0
"April 18, 2021",China,Pass the wipes.,I want my house fully protected and sanitized during Covid.,5.0
"April 16, 2021",Fgn,Good items,Good purchase for the price and shipping good,5.0
"April 13, 2021",Andreea,Null,I use them all over the house,5.0
"April 12, 2021",Msis,Good item,Great for sanitizing. Not to small not to big.,5.0
"April 12, 2021",memaw,Sanitary wipe ups,Handy to keep in the bathroom and kitchen for wipe ups!,5.0
"April 12, 2021",Bethany,Finaly been able to get these,I just glad I finally was able to get these since the pandemic started I have not been able to get any I need these for my own medical conditions . I get Mrsa out breaks often I had so many of them since pandemic started and have not been able to disinfect anything I touched so I kept getting the infection. So I am just glad I finally able to get some of them. Mrsa when you have a Mrsa out back or flare up your consider very contagious.,5.0
"April 11, 2021",Phyllis,Dont understand why buy a 3 pack,They came not in one pack together all 3 Came separate,1.0
"April 11, 2021",Lonnifer,Love this brand,Always have trusted Clorox brand. Haven't used yet. Love lemon scent from previous uses.,5.0
"April 11, 2021",Nancy,Back in Stock,"Tough to find. First time finding in more than a year,",5.0
"April 23, 2021",Irma,Great customer service.,Have always liked Clorox products. First batch they had packaged laying flat in the box. The liquid spilled out,4.0
"April 22, 2021",Wanda,Null,ive used this brand forever disinfect so well,5.0
"April 22, 2021",JOANNE,Null,"These Clorox disinfecting wipes are great. I just love them and due to the Pandemic, they are very hard to find. I am, however, disappointed that the wipes were delivered to me without being packed in a cardboard box. They were just sitting on my porch, without the benefit of being packed in a box.",5.0
"April 21, 2021",ccm,Null,Clorox has always been a good man and the whites are even more convenient very moist it does the job well,5.0
"April 8, 2021",Jo,LOVE THEM!,THESE WIPES DOES IT ALL. I SIT OUTSIDE ON THE PATIO NOW AND USE THESE TO WIPE OFF THE CHAIRS AND SMALL TABLE,5.0
"April 8, 2021",Dediea,Great Selection,Fast delivery and excellent price,5.0
"April 8, 2021",Hildy,Null,Great quality and product!,5.0
"April 7, 2021",Debbie,Back in Stock!,"So pleased they are back in stock. Able to complete my order before getting the ""I sorry this item is no longer in stock"" message. Quality as expected.",5.0
"April 7, 2021",Diana,Poor packaging for the Clorox disinfecting wipes,"I just received this order delivery today and I have to tell you that Im so disappointed with regard to the packaging. The box was wet on one side and I could smell the strong contents of the Clorox disinfecting wipes coming from the inside! I had not opened the box at that point but the smell was so strong so you can imagine once I did open the contents! Paper was inserted into the box but there was no other type of wrapping other than what the item came with. The contents was soaked and two of the containers lids were slightly opened! Liquid was all over, it was a huge mess!! Needless to say I will not be ordering this item from Walmart in the future! With COVID-19 in effect and being handicapped I thought ordering any product would be safe not to mention convenient, but little did I know I was wrong!! I have ordered laundry soap liquid as well as other types of liquids and have not experienced this issue! Not happy with this at all. Im hoping that when I do use the item there will be liquid left inside that keeps the wipes moist!",1.0
"April 7, 2021",Sandy,Null,Love Clorox wipes ! Great product!,5.0
"April 6, 2021",Stephanie,Null,The inside of the box was wet. The labels on the clorox containers are coming off from being wet. The wipes seem to still be wet but I'm afraid they may not be as effective if the wetness is from the wiped themselves.,1.0
"April 5, 2021",GRACE,Null,Great for cleaning and disinfecting,5.0
"April 5, 2021",Nicole,Clorox Wipes - Good Buy,This was my first time trying this product and I really liked it. The texture is great and the little ridges made it felt more like a thin towel than a wipe. I will definitely buy it again.,5.0
"April 5, 2021",Lody27,Powerful wipes.,The best wipes and kill bacteria.,5.0
"April 4, 2021",leegl,a good buy,I purchase these all the time and like what I see. You can use them for any cleaning project you have around the house.,5.0
"April 4, 2021",Helyn,Glad these are back,"So happy to get these Clorox wipes. They became a fixture on a several counters in my home over the years. Yes I know there are other brands available, but Clorox has/is my go to wipe with confidence.",5.0
"April 3, 2021",Minnie,Null,They fine except one containers lid is broken and leaked inside of shipping box,3.0
"April 3, 2021",Raynelove19,Great price and quality,"This is definitely a quality buy for a great price! Especially with all that has been going on with quarantine and health changes worldwide. No complaints here, satisfied customer! Keep this in stock please we need it.",5.0
"April 1, 2021",tomvilla60,Thorough cleaning satisfaction,Makes cleaning easier and I know it is the cleanest it can be .,5.0
"March 31, 2021",Linda,Bleach wipes,"Very pleased, availability, we needed bleach wipes because of an infection someone in the family had and you can always know that Clorox works.",5.0
"April 10, 2021",TRP,Refreshing and trustworthy,"Name brand that has been known in the cleaning industry for years. These wipes are a good size, and come out of the container without rubbing or tearing on a rough plastic like the less expensive brands. They are easily torn apart on taking out of the container, where as some other brands many cloths are wasted because 3-5 come out at once. There is a nice, refreshing scent without being too harsh and abrasive. Also, the individual cloths are moist so you know you are getting some cleaner with them. Most other brands come out dry. I've even had to pour more cleaner in half used containers of other brands directly over the cloths because they were dried out. Waste of money. During this time of Covid we have depended on these and had a container in almost every room, as well as the car. We simply trust them. And, will continue to have available in our home long after we get back to ""normal"".",5.0
"April 10, 2021",lizard55,Awesome clean,Good product and I love it! The surrounding inside my house it feels clean after I used this Clorox disinfecting wipes. It helps also to prevent bacteria or germs.,5.0
"March 30, 2021",Aisha,Null,Too expensive for only a 3 pack. Sam's carry it 5 pack for 10.00 and here 10 for only 3,1.0
"March 30, 2021",Kristie,Great,Always loved Clorox products!,5.0
"March 30, 2021",Guadalupe,Null,Great for cleaning anything,5.0
"March 29, 2021",Ginny,Null,Works great to clean everything,5.0
"March 29, 2021",Rachel,Where have you been? Clorox?,"As we all know, during COVID-19, everything Clorox disappeared. Now that I'm able to re-purchase, I bought a three pack of these to have on hand. Honestly, because I had to make do with Lysol instead of Clorox through the pandemic, I now prefer Lysol. The Clorox wipes actually stink, as in smell.",3.0
"March 29, 2021",Rick,A welcome return.,"These are great wipes. When Covid hit these disappeared, and Im so happy to see them back. So convenient and powerful. Thanks for bringing them back!",5.0
"March 28, 2021",MSGE55,Clorox Wipes,It was great. About to go into the house when the young delivery lady was dropping off my delivery packages.,5.0
"March 28, 2021",beatriz,Bust a quicky,They work great for those times unexpected company shows up and you want to give everything a fast wipe.,5.0
"March 27, 2021",sef3,"Clorox Disinfecting Wipes,",These are great for clean up and the smell is not strong,5.0
"March 25, 2021",Elizabeth,Null,Product is good. I want to give a big thanks to the delivery person who delivered it to my front door.,5.0
"March 25, 2021",Candy,"Thank you, thank you, thank you!",I AM FULL OF JOY THE DISINFECTANT WIPES ARE OUT! I WANT TO DO CARTWHEELS RIGHT NOW! LOL!,5.0
"March 25, 2021",Jacqueline,Null,Kills germs. Removes dirt and grim.,5.0
"March 24, 2021",amym370,Wonderful product! I use,Wonderful product! I use these wipes daily to disinfect things within my home and in my classroom. They smell nice and the chemicals are not overpowering when cleaning around children.,5.0
"March 24, 2021",Gazebo,Null,"Happy finally available again, price did go up a few dollars.",5.0
"March 24, 2021",CheriseR,Null,"wipes worked as expected and appeared as shown on site, thanks!",5.0
"March 24, 2021",None,Null,Clorox has been a staple in my home a long time.,4.0
